run_id,arm,epoch,loss_total,loss_center,loss_center_aux,loss_center_motion,loss_center_ref,loss_angle,loss_angle_aux,loss_angle_motion,loss_angle_ref,loss_seg,loss_bc,loss_velocity,loss_dynamics_displacement,loss_trajectory_nll,loss_trajectory_adapter_norm,trajectory_sigma_mean,trajectory_adapter_norm,trajectory_adapter_scale,trajectory_gap_activation,trajectory_gap_ratio,trajectory_search_valid,trajectory_search_gap_ratio,search_expansion_points,search_query_delta_t,search_predicted_displacement,foreground_score,foreground_points,valid_history_ratio
A0,Legacy motion α=0,26,0.27336851,0.02563262,0.02547723,0.02919862,0.01049563,0.0002789,0.00036645,0.0004343,0.00028236,0.05249023,0.07666688,0.09468729,0.03795145,,,,,,,,,,0.0,0.49794211,0.0,0.42506688,107.12707801,0.90294838
A0,Legacy motion α=0,27,0.26837201,0.02548446,0.02512766,0.02809506,0.01019523,0.00027538,0.00035923,0.00044203,0.00026869,0.05244397,0.07575254,0.09293915,0.03727522,,,,,,,,,,0.0,0.4979237,0.0,0.42355569,105.81454258,0.90266774
A0,Legacy motion α=0,28,0.2655525,0.02487091,0.02410595,0.02861354,0.01017884,0.00027445,0.00036175,0.00046621,0.00027364,0.05121627,0.07502813,0.09124409,0.03644707,,,,,,,,,,0.0,0.49787227,0.0,0.42157809,104.56887676,0.90275028
A0,Legacy motion α=0,29,0.25899076,0.02454316,0.02377511,0.02712536,0.01003302,0.00025496,0.000342,0.0003916,0.00026572,0.05155352,0.07417555,0.09150115,0.03659152,,,,,,,,,,0.0,0.4979497,0.0,0.42226664,105.97349173,0.90151217
A0,Legacy motion α=0,30,0.25921553,0.0242515,0.02375809,0.02786223,0.00998627,0.00026003,0.000346,0.00039266,0.00026701,0.05144742,0.07353402,0.09201411,0.03680186,,,,,,,,,,0.0,0.49796118,0.0,0.42298401,105.40584517,0.90275028
A0,Legacy motion α=0,31,0.25664915,0.02396511,0.02353426,0.0276506,0.0098573,0.00025574,0.00033395,0.00041339,0.00025732,0.05070284,0.07279269,0.09209365,0.03682476,,,,,,,,,,0.0,0.49792742,0.0,0.42340767,106.16634355,0.90317949
A0,Legacy motion α=0,32,0.2537896,0.02327727,0.02311588,0.02757798,0.00966094,0.00025639,0.0003372,0.00039479,0.00024916,0.05073993,0.07234437,0.09211071,0.03679826,,,,,,,,,,0.0,0.49794168,0.0,0.42167834,108.29457727,0.90294838
A0,Legacy motion α=0,33,0.24903272,0.02359341,0.02299714,0.0255539,0.00968156,0.00024968,0.00032957,0.00039687,0.00025307,0.05085299,0.07182286,0.09182932,0.03665699,,,,,,,,,,0.0,0.49785296,0.0,0.42175889,104.93111763,0.90217249
A0,Legacy motion α=0,34,0.24912078,0.02314986,0.02306255,0.02607264,0.00945641,0.00025702,0.00033678,0.0004052,0.00024702,0.04990222,0.07160469,0.09137282,0.03647886,,,,,,,,,,0.0,0.49782872,0.0,0.42460571,107.49583356,0.90326204
A0,Legacy motion α=0,35,0.24359854,0.02295009,0.02277075,0.02481354,0.00947919,0.00024332,0.00032317,0.00037527,0.00025039,0.04970107,0.07035069,0.09267564,0.03710969,,,,,,,,,,0.0,0.49791773,0.0,0.42048747,108.3023921,0.90250266
A0,Legacy motion α=0,36,0.24913543,0.02350616,0.02278386,0.02543429,0.00940196,0.00026671,0.00034695,0.00043424,0.00024577,0.04938893,0.07217159,0.09315184,0.03732405,,,,,,,,,,0.0,0.49790044,0.0,0.42091832,105.89412181,0.90331156
A0,Legacy motion α=0,37,0.24157005,0.02268636,0.02216782,0.02469823,0.00932765,0.00025318,0.00033137,0.00041003,0.00024094,0.04827439,0.07021142,0.09162707,0.03659951,,,,,,,,,,0.0,0.49787597,0.0,0.42408415,105.74852271,0.90308045
