run,metric,epoch,batch_count,mean,min,max,all_finite
Full,ct_observation_rmse,41,1262,0.25276503817026286,0.1286233365535736,1.55097234249115,True
Full,ct_observation_rmse,42,1262,0.253988790560496,0.11562062799930573,1.144477367401123,True
Full,ct_observation_rmse,43,1262,0.2482279998068764,0.11684124171733856,2.1891791820526123,True
Full,ct_observation_rmse,44,1262,0.2501954448109761,0.12431055307388306,1.1303963661193848,True
Full,ct_observation_rmse,45,1262,0.2466714431645375,0.09800142049789429,0.8878067135810852,True
Full,ct_observation_rmse,46,1262,0.25075772933059753,0.0852009505033493,0.9547873735427856,True
Full,ct_observation_rmse,47,1262,0.24823209502853796,0.10188129544258118,0.9630373120307922,True
Full,ct_observation_rmse,48,1262,0.2483534588465222,0.12450152635574341,1.0872626304626465,True
Full,ct_observation_rmse,49,1262,0.24941712842808472,0.11898120492696762,1.0071017742156982,True
Full,ct_observation_rmse,50,1262,0.24806578236553825,0.12246672809123993,0.8834896087646484,True
Full,ct_observation_rmse,51,1262,0.24995770122968072,0.12220558524131775,0.9710010290145874,True
Full,ct_observation_rmse,52,1262,0.25059542360401194,0.11810200661420822,0.8658583760261536,True
Full,ct_observation_rmse,53,1262,0.24469179573886557,0.11380960047245026,1.0589745044708252,True
Full,ct_observation_rmse,54,1262,0.2487479460007982,0.13362330198287964,0.8354567289352417,True
Full,ct_observation_rmse,55,1262,0.24951854529428974,0.10568223148584366,1.0425364971160889,True
Full,ct_observation_rmse,56,1262,0.24992778395463472,0.10479298233985901,0.9826146960258484,True
Full,ct_observation_rmse,57,1262,0.24691969862358318,0.1237490177154541,1.136742353439331,True
Full,ct_observation_rmse,58,1262,0.2451417581097071,0.11753509938716888,0.9792632460594177,True
Full,ct_observation_rmse,59,1262,0.24870157448453872,0.11985786259174347,1.010382056236267,True
Full,ct_observation_rmse,60,1262,0.24759331699785453,0.12089523673057556,0.9587178230285645,True
Full,ct_query_gate_mean,1,1262,0.3090395225468793,0.03464047983288765,0.5749485492706299,True
Full,ct_query_gate_mean,2,1262,0.40221831328848084,0.21399924159049988,0.5191335678100586,True
Full,ct_query_gate_mean,3,1262,0.39982498188026355,0.2183600217103958,0.5119726061820984,True
Full,ct_query_gate_mean,4,1262,0.4015759393667268,0.20542782545089722,0.5135506391525269,True
Full,ct_query_gate_mean,5,1262,0.40029748087592437,0.22736482322216034,0.510023295879364,True
Full,ct_query_gate_mean,6,1262,0.40292713011831943,0.21379560232162476,0.5178417563438416,True
Full,ct_query_gate_mean,7,1262,0.40361077339637863,0.2121700495481491,0.5559559464454651,True
Full,ct_query_gate_mean,8,1262,0.40704927957142967,0.24399714171886444,0.5251144170761108,True
Full,ct_query_gate_mean,9,1262,0.4082884406774244,0.1879911720752716,0.5265828371047974,True
Full,ct_query_gate_mean,10,1262,0.4138674533641093,0.2547200322151184,0.5312334299087524,True
Full,ct_query_gate_mean,11,1262,0.4157339054530283,0.2205503284931183,0.5349711179733276,True
Full,ct_query_gate_mean,12,1262,0.4151853607309224,0.2500065863132477,0.5288945436477661,True
Full,ct_query_gate_mean,13,1262,0.4188546817602144,0.2245691567659378,0.541643500328064,True
Full,ct_query_gate_mean,14,1262,0.42083530299212024,0.19631542265415192,0.5304903984069824,True
Full,ct_query_gate_mean,15,1262,0.4193185674124021,0.25742387771606445,0.5409402847290039,True
Full,ct_query_gate_mean,16,1262,0.4206020836312495,0.22292235493659973,0.5405116677284241,True
Full,ct_query_gate_mean,17,1262,0.419362905298001,0.1921105831861496,0.5296417474746704,True
Full,ct_query_gate_mean,18,1262,0.42042628395859677,0.2525549530982971,0.5425122380256653,True
Full,ct_query_gate_mean,19,1262,0.4218500895092113,0.2575094997882843,0.5417022109031677,True
Full,ct_query_gate_mean,20,1262,0.4228567867148697,0.24598756432533264,0.5470418930053711,True
Full,ct_query_gate_mean,21,1262,0.42602405102005475,0.2353007048368454,0.5361592173576355,True
Full,ct_query_gate_mean,22,1262,0.4218273889243886,0.26004141569137573,0.54465651512146,True
Full,ct_query_gate_mean,23,1262,0.42424290949587967,0.22721603512763977,0.5317026376724243,True
Full,ct_query_gate_mean,24,1262,0.4247254992461809,0.2144286334514618,0.5331361293792725,True
Full,ct_query_gate_mean,25,1262,0.4218406218757909,0.23024752736091614,0.5353332757949829,True
Full,ct_query_gate_mean,26,1262,0.42178787873163465,0.2497425228357315,0.5472192764282227,True
