group_key,group_name,protocol,item_order,source,source_model,display_model,role,metric,epoch,step,value
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,25,31549,24.46061134338379
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,30,37859,23.643325805664062
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,35,44169,27.41684913635254
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,40,50479,25.37308692932129
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,45,56789,25.142234802246094
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,50,63099,26.55908203125
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,55,69409,25.29759788513184
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,1,a1_time,A1-raw,A1 raw,variant,precision/test,60,75719,27.42888641357422
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,5,6309,41.213348388671875
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,10,12619,34.13895034790039
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,15,18929,41.39715576171875
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,20,25239,40.3512077331543
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,25,31549,41.11050796508789
a1_time_variants_60ep,A1 Time Encoding / Main-Branch Variants (60ep),60ep seed42 nuScenes-mini,2,a1_time,A1-pseudo,A1 pseudo,variant,success/test,30,37859,44.060176849365234
